Statie,Nume,Lat,Long,Tema
13,Monumentul Custozza,46.068029,23.572167,"Ce scrie pe placa din spatele monumentului? Textul în limba germană, care evocă credința și spiritul de sacrificiu al părinților și care, în traducere, spune: „Fiți devotați și statornici ca părinții voștri!”. Privind monumentul aflat în zona centrală a Pieței Cetății, vă întrebați, probabil, ce legătură există între Alba Iulia și bătălia de la Custozza din 1866, în timpul conflictului militar dintre Italia și Austria pentru posesiunea Veneției? La bătălia din nordul Italiei, câștigată de austrieci, a luat parte și Regimentul 50 Infanterie de la Alba Iulia, format în mare parte din români şi maghiari, dar comandat de ofiţeri austrieci.
Inițiativa ridicării unui monument dedicat celor 133 de soldați și ofițeri căzuţi la Custozza a aparținut ofițerilor Regimentului austriac de la Alba Iulia și s-a concretizat la 40 de ani de la lupta italiană, în 1906.
Monumentul, realizat în piatră cioplită, are înălțimea de patru metri, forma unui obelisc și este decorat în vârf cu un glob metalic înaripat.
"
14,Lapidarium,46.068161,23.572232,"Lapidariu, așa cum este enunțat în dicționarul explicativ al limbii române este locul în care sunt păstrate în colecție pietre mari sculptate sau gravate , basoreliefuri, statui și pietre de mormânt. În cadrul muzeului Principia există acest lapidarium, în denumirea sa latină, care conține părți din cele menționate anterior. Aici se află, de asemenea, o parte din clădirea Principiei, a castului roman de la Apulum locul în care și-a avut sediul comandamentul Legiunii a XIII-a,  Gemina - singura care a staționat pe teritoriul Daciei pe întreaga perioadă a ocupației romane. 

Temă: Menționați cel puțin două texte biblice în care piatra are un rol important.
(Răspunsuri: Apoc.2:17, Daniel 2:34, 1Petru2:4-8, Isaia 28:16, Psalmii 118:22, Isaia 8:14, Matei 16:18)"
15,Legionar,46.068085,23.572339,"Acest legionar face parte din Legiunea a XIII-a Gemina, una din cele 14 legiuni (70.000 de soldați) aduse de Traian în timpul râzboaielor daco-romane. Legiunea a XIII-a a fost staționată la Castrul Apulum (actuala Alba Iulia) din anul 106 pana in 271. E îmbrăcat și înarmat tipic pentru un legionar:
Coolus - un coif folosit predominant de legionari in sec. I
Tunica - o cămașă de lână purtată pe sub armură.
Lorica Segmentata - armură formată din fâșii de metal prinse pe o structură de piele.
Caligae - încălțăminte de piele întărită cu cuie metalice.
Pilum - o sulită grea de lemn (4kg) cu vârf metalic construit special pentru a se rupe la impact pentru a nu putea fi aruncată înapoi.
Gladius - o sabie scurtă folosită ca arma principală a legionarilor romani.
Scutum - scutul de 10 kg făcut din 3 fășii de lemn acoperite de pânză și piele, de regulă înrămat cu metal.

Temă: 
Identificați elementele din echipamentul legionarului.
Scrieți cu cifre romane ziua, luna și anul în care ne aflăm. (răspuns: 25.09.2022 - XXV.IX.MMXXII)"
16,Monumentul Lossenau,46.067979,23.572715,"Povestea monumentului Lossenau începe în 11 februarie 1849, când la Simeria armata revoluționară maghiară a înfruntat trupele austriece conduse de Ludwig Losy von Losenau. În urma bătăliei, comandantul austriac a fost grav rănit și a murit câteva zile mai târziu. Deşi astăzi se ştiu foarte puţine date biografice despre colonelul austriac, moartea sa a făcut ca Alba Iulia să mai aibă încă un monument. Inițiativa ridicării monumentului a aparținut ofiţerilor armatei habsburgice din garnizoana Alba Iulia. Piatra de temelie s-a pus în 1852, în prezența împăratului Franz Iosif.

Temă: Ce reprezintă statuetele simbolice de pe latura estică și cea vestică a monumentului? "
17,Student și copii,46.068589,23.572669,Temă: Găsiți studentul și copii. Fiecare dintre copii să spună materia lor preferată și ce vor să se facă când sunt mari. 
18,Bătălie,46.067334,23.572684,"Pe tot parcursul secolului I, strategia politicii romane dicta că amenințările din partea statelor vecine Imperiului să fie eliminate cât mai repede. În ciuda unei oarecare cooperări de natură diplomatică cu Domițian, după o invazie anulată, Decebal a continuat să se opună Romei. Regatul Dac rămăsese prin urmare considerat la Roma ca o puternică amenințare. Au urmat două invazii ale romanilor și în cele din urmă Dacia a căzut sub dominație romană. Așa au fost puse bazele poporului român.

Temă:
Între ce ani au fost cele două războaie daco-romane? (101-102, 105-106)
Cine a fost Împăratul Romani și cine a fost Regele Daciei în perioada aceasta? (Traian și Decebal)
Identificați dacii și romanii din sculptură."
19,Via principalis,46.067331,23.573053,"Dacă vă întrebați cum arătau drumurile care brăzdau anticul Castru Roman Apulum, vă spunem că la Alba Iulia se păstrează un segment din Via principalis. Era drumul care lega porțile principale ale castrului, de sud și de nord. Via principalis trecea prin fața „Principiei” castrului roman de la Apulum, adică sediul comandamentului Legiunii a XIII-a Gemina. Pe artera pavată cu lespezi de piatră treceau carele cu sare, ulei, vin, dar și echipamente militare necesare locatarilor castrului. Vestigiile drumului pe care au pășit soldații romani au ieșit la iveală pe parcursul lucrărilor pentru proiectele de reabilitare a Cetății Alba Carolina. Cei care ajung aici pot vedea lespezi ale drumului păstrate in situ, dar și canalul de cărămidă poziționat sub axul longitudinal al drumului, ce avea scopul de a asigura drenajul acestuia. Porțiunea centrală a drumului era flancată de două șiruri de lespezi de piatră, prevăzute pe margine cu canturi. Asta, pentru a preîntâmpina derapajul carelor ce alimentau tabăra militară cu alimente și echipament militar. 

Temă: Ce rol avea Via Principalis? "
20,Poarta 3,46.067050,23.574260,"Amplasată pe latura de Răsărit a Cetății Alba Carolina, Poarta a III-a este principalul punct de acces în fortificația propriu-zisă.
Poarta este plasată chiar la mijlocul porţiunii de zid ce uneşte două bastioane ale Cetății: Sfântul Eugen și Sfântul Capistrano, ultimul cunoscut și cu denumirea de Transilvaniei.
Monumentul, de forma unui dublu arc de triumf, se remarcă atât prin dimensiuni, cât și prin bogăția decorului. Monumentalitatea porţii este dată şi de stâlpii din componenţa ei, care o consolidează, dar îi conferă și un aspect ornamental deosebit. În limbaj de specialitate stâlpii se numesc pilaștri.
În partea superioară se află statuia ecvestră a împăratului Carol al VI-lea, în vremea căruia a fost ridicată Cetatea. Împăratul apare triumfător, demn, dominant, iar calul său, redat într-o atitudine de înverșunare războinică, trece peste militari turci. Poarta are trei intrări: una carosabilă şi două pietonale, mai mici.

Temă: Ce forma are Poarta 3? (arc de triumf)
Cine a fost incarcerat aici, si cat timp? (Horea, mai mult de 2 luni)
"
21,Obelisc,46.066918,23.575537,"Obeliscul din piatră impresionează, în primul rând, prin înălțimea sa de 20 de metri, ce-l face vizibil de la zeci de kilometri. Monumentul este amplasat în faţa Porţii a III-a a Cetății, pe un deal artificial de pământ ce, în trecut, trebuia să protejeze poarta principală a fortificației de tirul direct al artileriei, în caz de asediu.
Obeliscul a fost ridicat pentru marcarea a 150 de ani de la execuția lui Horea și Cloșca, conducătorii Răscoalei de la 1784. Inaugurarea a avut loc în prezența regelui Carol al II-lea și a fiului său, Mihai, care purta la acea vreme titulatura de „Mare Voievod de Alba Iulia”. Deasupra ușii de fier forjat de pe fațada vestică, pe o placă de gresie sunt sculptate, în relief, hotarele României Mari, iar în mijloc, figurile lui Horea, Cloșca și Crișan.
Pe fațada opusă, estică, Obeliscul are atașată o statuie de mari dimensiuni a zeiței Victoria, înaripată și ţinând în mâna dreaptă o cunună cu lauri, destinată celor trei lideri ai Răscoalei.

Temă: Spune trei lucruri interesante pe care le-ai descoperit despre obeliscul lui Horia, Cloșca și Crișan. "
22,Macheta Cetății,46.067096,23.575268,"Cetatea Alba Carolina, în care ne aflăm astăzi, este locul în care vă puteți întoarce în timp, de-a lungul a două milenii, printre vestigiile a trei fortificații, din tot atâtea epoci diferite. Suntem de fapt în ultima din 3 fortificații construite una în jurul celeilalte. Prima a fost un Castru Roman, construit după cucerirea Daciei de către romani. A doua e Cetatea Medievală construită pe locul ruinelor castrului și a treia e Cetatea Alba Carolina a cărei machetă o vedem aici.

Temă: Identificați locul unde s-a facut deschiderea și unde urmează a fi făcută închiderea evenimentului nostru. Identificați obiectivele pe care le-ați vizitat până acum. "
23,Poarta 2,46.067367,23.575486,"Povestea porții a II-a Cetății Alba Carolina are și episoade mai zbuciumate. Monumentul a început să fie numărat între porțile fortificației abia după 1935, când a fost demolat, cu ocazia ridicării, în apropiere, a Obeliscului „Horea, Cloșca și Crișan”. Forma actuală a porții este rezultatul unui proiect de restaurare finalizat în anul 2009. Până atunci, doar stâlpii laterali și câteva balamale mai aminteau trecătorilor de monument.

Temă: 
Ce scop are barbacana? Raspuns: Barbacana era traseul în pantă, cu o lungime de  130 de metri, ce avea drept scop îngreunarea accesului dușmanilor la poarta principală a fortificației.
Care este diferenta dintre cei doi atlanți? Raspuns: Unul este tanar fara barba, unul este adult cu barba.     "
24,Liberty Bell,46.067642,23.572437,"Situat în Piața Cetății, Clopotul Unirii (Monumentul Unirii) a fost dezvelit de către primarul orașului. 
Se spune că forma lui este identică cu cea a clopotului pe care Regele Ferdinand l-a donat Catedralei Încoronării (mai puțin crăpătura din el). Este o interpretare personală și modernă a Unirii celor trei Principate Române. 

Temă: Identificați un element apocaliptic. (Răspuns: trâmbița)"
25,Exerciții de dicție,46.067570,23.572370,"Găsește cei doi domni cu pălărie care vorbesc.
Cine poate să rostească cel mai repede următoarele fraze:
1. O mierliță fuflendiță fuflendi-fluflenderiță nu poate să fuflendească fuflendi-fluflendărească pe mierloiul fuflendoiul fuflendi-fluflendăroiul. Dar mierloiul fuflendoiul fuflendi-fluflendăroiul poate ca să fuflendească fuflendi-fluflendărească pe mierlița fuflendița fuflendi-fuflendăriță.
2. Ciubotarul are o ciubotărie unde ciubotește ciubote și ciuboțele.
3. Cupă cu capac, capac cu cupă.
4. Păpucarul papucărește papucii nepăpucăriți ai papucăresei, dar păpucăreasa nu poate păpucări papucii nepăpucăriți ai păpucarului care păpucărește papuci nepăpucăriți.    "
26,Vănzătorii de ouă,46.067611,23.572285,"Băiețelul o ajută pe bătrânică să vândă ouăle.

Temă: cum vă puteți impica și voi mai mult în viața celor mai în vârstă din jurul vostru (bunici, vecini, membrii ai bisericii)? Răspundeți fiecare cu câte o idee la întrebare."
27,Vânzătoarea de flori,46.067612,23.572046,"Temă: Doamna care ofera flori. Fii generos cu cei din jurul tău, dărnicia vine din inimă. Oferă o îmbrățișare fiecărui membru al grupei.  "
28,Piramida,46.067605,23.572016,Temă: Sub ce stăteau regele și regina când a depus regele jurământul? (Baldachin)
29,Eleganță,46.067567,23.571272,"Descoperă cadrul militar care intenționează să execute un gest de politețe față de un personaj feminin aflat în fața sa. (în aria sa vizuală)
Temă: Salutați-vă între voi folosind următoarele forme de salut: 
- salutul din nordul Mozambicului: bați de trei ori din palme, apoi spui:„Bună ziua”.
- salutul tinerilor din Filipine adresat persoanelor mai în vârstă: te înclini în fața persoanei și îți pui mâna dreaptă pe umărul ei, apoi i te adresezi cu expresia: „Mano Po”(Mano=mână, Po=respect).
- salutul thailandez: o înclinare ușoară a capului și a corpului, în timp ce mâinile sunt împreunate ca pentru rugăciune.

Supliment (doar de știut):
- salutul tradițional al triburilor Maori din Noua Zeelandă, poartă denumirea „hongi”: cele două persoane își ating nasurile.
- salutul locuitorilor din insulele Tuvalu: se apropie cu fața de obrazul celuilalt și oftează.
- salutul din Botswana: atingerea ușoară a palmelor făra a fi strânse. 
21 noiembrie - Ziua Mondială a Salutului"
30,Statuia Mihai Viteazul,46.067492,23.570963,"Temă: În ce an s-a născut Mihai Viteazul? – 1558
Ce meserie a avut în tinerețe? – Negustor
Ce funcție deține între 1592-1593? – Ban al Olteniei
În ce an este numit domn al Munteniei? – 1593
În ce an intră în Alba Iulia și devine stăpânitor al Transilvaniei? – 1599
În ce an ajunge stăpânitor al Țării Românești, al Ardealului și al Moldovei? – 1600
În ce an moare Mihai Viteazul? – 1601"
31,Preot și copii,46.067870,23.569604,"Temă: Găsiți copii strânși în jurul Bibliei. Cine a spus: „Lăsați copilașii să vină la mine [...]”, și unde? Alegeți 3 copii din grupă care să spună versetul preferat. "
32,Catedrala catolică,46.067661,23.569563,"Ridicată în urmă cu 800 de ani, catedrala arhiepiscopală Romano-Catolică este cea mai veche catedrală din Transilvania care continuă să funcționeze și cea mai veche clădire din Alba Iulia şi din judeţul Alba. Este, totodată, de secole, cea mai înaltă clădire din Alba Iulia, dar și din județul Alba. Turnul măsoară, cu tot cu cruce, 56.7 metri și domină perspectiva orașului văzut din depărtare.
Catedrala  a fost martora unor evenimente remarcabile cum ar fi intrarea lui Mihai Viteazul în Cetatea Bălgradului, în 1599. Hramul Catedralei este acela al Sfântului Mihail, sfântul protector al orașului Alba Iulia.

Temă:
Cum se numește catedrala Romano-Catolică?
Catedrala a fost câteva sute de ani și Protestantă. Ce denominațiune?

Răspuns: Sfântul Mihail / Calvinistă.

Găsește ceasul solar de pe zidul cetății și fă o poză. "
33,Poarta 4,46.068009,23.568866," „Poarta Episcopului” și „Poarta Nouă” sunt denumirile sub care a fost cunoscută în trecut Poarta a IV-a a Cetății Alba Carolina. Monumentul are forma unui culoar boltit ce străbate zidul dintre două bastioane ale Cetății: Trinitarienilor și Sfântul  Mihail și este amplasată la capătul de vest al drumului principal care străbate Cetatea. Este singura poartă cu decor sculptural bogat, dintre cele trei existente pe latura de vest a fortificației. În trecut, Poarta avea un rol practic: asigura ieșirea din Cetate a soldaților spre câmpul de instrucție. Poarta, un valoros monument de artă barocă transilvăneană, este redată circuitului turistic din anul 2007. 

Temă:
Căte candelabre găsiți? 
Găsiți ințialele Carolus Caesar al VI-lea și faceți o poză."
34,Capsula timpului,46.068475,23.567635,"În anul 2018 la 1 Decembrie, cu ocazia centenarului Marii Uniri, a fost inaugurată această sculptură de bronz ce conține mesajul a două sute de români adresat românilor din viitor. Aceștia din urmă vor putea citi mesajul la celebrarea următorului centenar în anul 2118.

Temă: transmiteti un mesaj, ca si grupă, generațiilor viitoare de exploratori. Mesajul va putea fi vizionat in 2027."
35,Batrân Răbdător,46.067021,23.572877,Temă: Bătrânul de pe bancă. Faceți o poză de grup cu bunicul pe bancă. 
36,Poarta Monetăriei,46.066896,23.573065,"În Cetatea Alba Iulia au existat, de-a lungul timpului, două monetării: cea „veche” şi cea „nouă”. Prima a funcționat în vremea în care Alba Iulia a fost, timp de aproape 150 de ani, capitala Principatului Transilvaniei. Primele emisiuni monetare cu sigla orașului datează de la începutul anilor 1600, din vremea principelui Gabriel Báthory. „Vechea monetărie” a atins apogeul în vremea succesorului acestuia, principele Gabriel Bethlen, care a emis o mare masă monetară, inclusiv piese din aur.
După ce austriecii au preluat Transilvania, monetăria a trecut în proprietatea Imperiului Habsburgic. „Noua monetărie” a fost amplasată pe latura de sud a Cetății bastionare, între aripa de răsărit a Palatului principilor și Manutanță. A devenit, în scurt timp, o monetărie de maximă importanță pentru monarhia austriacă. A funcţionat aici până în 1871, an în care a fost închisă, iar bunurile au fost transferate la monetăria din Kremnica, în Slovacia.

Ce comemorează placa de bronz? Raspuns: 1900 de ani de la incheierea razboialelor daco-romane.    
"
37,Caponiera,46.065959,23.571988,"Caponiera e o galerie ce străbate zidul dintre două bastioane: Eugeniu de Savoia și Sfântul Ștefan. Aici este amenajată o expoziție dedicată restaurării sculpturilor de la porțile cetății.
Vizitați și admirați măiestria sculpturilor."
38,Bastionul Sașilor,46.066097,23.573670,"Sala Armelor a fost cândva brutărie, iar în cele două cuptoare se cocea pâinea pentru toți locuitorii cetății. Pereții interiori au și acum un strat negru de fum provenit de la ele. Aici putem admira armuri de epocă și arme, precum și construcția interioară. Coborând scările printr-un tunel, ajungem în Sala Vestigiilor Romane, unde putem remarca zidăria pe epoci (piatra de la romani și cărămizi din perioada medievală), iar apoi se intră în Sala Cavalerilor.
Când ne aflăm în Sala Cavalerilor, sentimentul este că suntem în decorul unui film cu cavaleri templieri. Sala este mobilată cu mobilier de epocă, o masă mare de lemn, cu scaune, acoperită cu o față de masă și un suport de lumânări. Candelabrul de lemn este și el cu lumânări, așa cum erau în trecut. Aici se întâlnesc anual membrii asociației ‘’Cavalerii Templieri’’, acum, bineînțeles, cu alte scopuri decât cele pe care le-au avut în trecut. De remarcat că nu sunt ferestre, acestea evitându-se din motive de siguranță, pereții au doar niște nișe care se deschid tot mai mult înspre exterior, pentru aerisire."
39,Platforma de artilerie,46.065554,23.572775,"Platforma de artilerie este una dintre atracțiile acestui traseu. Veți vedea trei tunuri de epocă, încă funcționale. Dacă vă nimeriți prin preajma lor sâmbăta la ora 12:00, veți avea și ocazia să le vedeți executând o salvă de onor în cinstea drapelului municipiului Alba Iulia, arborat pe zidul Cetății Alba Carolina. Tunurile au fost fabricate în atelierele cetății, amenajate în secolul XVI; arsenalul și cazarma de artilerie au apărut abia în prima jumatate a secolului XVIII.

Aveți grijă la coborarea și urcarea prin tunel."
40,Camera de Tortură,46.065836,23.574550,Coborâți cu grijă scările și vizitați camera de tortură a cetății.
41,Punct de belvedere,46.0663126,23.5746749,Faceți o poză de grup în punctul de belvedere.
42,Celula lui Horea,46.0671348,23.5746026,"Celula lui Horea se află în partea superioară a Porţii a III-a şi a fost inclusă într-un circuit turistic denumit „Eroii neamului românesc“. Celula în care a fost întemnițat pentru câteva luni principalul conducător al răscoalei țărănești are o suprafaţă de patru-cinci metri pătraţi, două ferestre mici şi o uşă din metal. În interior se află bustul lui Horea și o placă comemorativă."
